CAT;SAC;SIC;Time;LAT;LON;H;H(m);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;04:00:00:828;41.27766927;2.08018242;68.5799462059513;224.999830710333;1.699219;215.623169;1000;2.25;34310D;BCS3LR;1013.2;N/A;N/A;N/A;N/A;N/A;15.292969;132;0.2;-480;-608;2224;126.5;18.4296;No alert, no SPI, aircraft airbone
CAT048;20;129;04:00:01:023;41.28503756;2.07412982;-0.000817850232124329;-0.00268323575556278;1.574219;233.371582;1421;0;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;-115.839844;NV;NV;0;0;2082;0;244.6875;No alert, no SPI, aircraft on ground
CAT048;20;129;04:00:01:008;41.28365067;2.07347260;-0.00081703532487154;-0.00268056217525154;1.648438;231.668701;1000;N/A;4CAD3C;RYR1FB;1014;N/A;N/A;N/A;N/A;N/A;-152.402344;45;0.152;-32;0;2077;7.92;208.125;No alert, no SPI, aircraft on ground
CAT048;20;129;04:00:01:016;41.28571813;2.07626299;-0.000679866410791874;-0.00223053291518241;1.472656;232.404785;5343;0;3444CF;VLG9YD;1014;-0.879;-114.434;4;0.094;NV;-115.488281;NV;NV;-32;0;2095;3.96;244.6875;No alert, no SPI, aircraft on ground
CAT048;20;129;04:00:01:055;41.29184706;2.08445631;-0.000347728841006756;-0.0011408426907286;0.957031;236.299438;1000;N/A;4CA643;RYR28RR;1014.2;-0.527;-162.598;16;NV;100;-162.949219;45;0.152;-64;0;691;15.84;196.875;No alert, no SPI, aircraft on ground
CAT048;20;129;04:00:01:313;41.28657091;2.00592448;15.2271241825074;49.9577581029376;4.429688;259.002686;7777;0.5;344045;7777XBEG;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;664;0;0;No alert, no SPI, aircraft on ground
CAT048;20;129;04:00:01:375;41.29804216;2.06482511;-0.00195865891873837;-0.00642604652695358;1.691406;264.60022;2000;N/A;A48C07;UPS242;1013;N/A;N/A;N/A;N/A;N/A;NV;NV;NV;0;0;1808;14.52;197.8967;Alert, no SPI, aircraft on ground
CAT048;20;129;04:00:01:414;41.30019149;2.07632841;-0.00093934778124094;-0.00308184977460653;1.164062;268.500366;5360;N/A;4CA61C;RYR699N;1014.2;N/A;N/A;N/A;N/A;N/A;65.566406;45;0.152;64;0;159;3.96;67.5;No alert, no SPI, aircraft on ground
CAT048;20;129;04:00:01:422;41.30045627;2.07986369;-0.00069927703589201;-0.00229421607043594;1.003906;269.165039;0430;N/A;4CA815;RYR91MD;1014.2;N/A;N/A;N/A;N/A;N/A;155.742188;45;0.152;0;0;3678;11.88;157.5;No alert, no SPI, aircraft on ground
CAT021;20;219;04:00:01:633;41.2888091057539;2.19214713200927;N/A;N/A;N/A;N/A;0437;26.5;4CA739;RYR82GJ;1013.6;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
